Keyword,Intent,Volume_FR,KD,CPC_EUR,URL_slug,Page_type,Title_tag,Meta_desc,H1,Schema,Content_length_words,Internal_links,Notes
programme formation cip,Informationnel,60,15,1.8,/programme-formation-cip-bordeaux,Cluster,Programme détaillé de la formation CIP à Bordeaux,"Compétences, modules, durées et modalités pédagogiques de la formation Conseiller Insertion Professionnelle.",Programme formation CIP Bordeaux,FAQPage,1200,2-3,"Modules jour par jour, témoignage ancien stagiaire."
formation fpa bordeaux,Transactionnel,290,22,2.9,/formation-fpa-bordeaux,Pilier,Formation FPA à Bordeaux : Formateur Professionnel d’Adultes,"Préparez le titre pro FPA à Bordeaux. Pédagogie active, financement CPF. Prochaine session en septembre.",Formation Formateur Professionnel d’Adultes à Bordeaux,"Course, Event, FAQPage",2100,4-6,Inclure vidéo d’une session en présentiel.
formation fpa cpf bordeaux,Transactionnel,90,17,3.0,/formation-fpa-cpf-bordeaux,Cluster,Financer la formation FPA à Bordeaux via CPF – Atipik RH,Mobilisez votre CPF pour devenir Formateur Professionnel d’Adultes à Bordeaux.,CPF pour la formation FPA Bordeaux,FAQPage,900,2-3,"Simulateur CPF, liste de pièces justificatives."
programme formation fpa,Informationnel,55,14,1.7,/programme-formation-fpa-bordeaux,Cluster,Programme complet de la formation FPA à Bordeaux,"Découvrez le contenu détaillé, les compétences visées et les modalités de certification.",Programme formation FPA Bordeaux,FAQPage,1200,2-3,Liste des modules + activités pratiques.
formation courte insertion bordeaux,Transactionnel,140,20,2.4,/formations-courtes-insertion-bordeaux,Pilier,Formations courtes pour structures d’insertion à Bordeaux,"Catalogue de formations flash pour encadrants et conseillers en insertion : 1 à 5 jours, financement OPCO.",Formations courtes Insertion Bordeaux,"Course, FAQPage",1500,3-4,Mettre liste des formations + calendrier.
formation accompagnement socio professionnel bordeaux,Transactionnel,70,18,2.1,/formation-accompagnement-socio-professionnel-bordeaux,Cluster,Formation « Accompagnement socio-professionnel » – Bordeaux,"Améliorez vos pratiques d’accompagnement avec cette formation de 2 jours, éligible plan de développement.",Formation accompagnement socio‑professionnel Bordeaux,Course,800,2-3,"Taux de satisfaction, objectifs pédagogiques."
formation courte entreprise bordeaux,Transactionnel,190,21,2.6,/formations-courtes-entreprises-bordeaux,Pilier,Formations courtes pour entreprises à Bordeaux – Soft skills & RH,"Boostez les compétences de vos équipes avec nos formations express (management, communication, RH).",Formations courtes Entreprises Bordeaux,"Course, FAQPage",1600,3-4,Inclure catalogue PDF téléchargeable.
formation gestion du stress bordeaux,Transactionnel,85,17,2.5,/formation-gestion-du-stress-bordeaux,Cluster,Formation Gestion du stress (1 jour) – Bordeaux,Apprenez des techniques concrètes pour gérer le stress au travail. Eligible OPCO.,Formation gestion du stress Bordeaux,Course,800,2-3,"Programme, objectifs, formateur expert."
insertion professionnelle,Informationnel,1200,40,1.5,/insertion-professionnelle,Pilier,"Insertion professionnelle : définition, enjeux et accompagnement – Atipik RH",Découvrez les étapes clés de l'insertion professionnelle et nos solutions d'accompagnement pour réussir votre retour à l'emploi.,Qu'est‑ce que l'insertion professionnelle ?,FAQPage,1800,3-4,"Guide général, renvoie vers bilan de compétences et formation CIP."
conseiller en insertion professionnelle,Informationnel,1100,25,2.5,/conseiller-en-insertion-professionnelle,Cluster,"Métier Conseiller en insertion professionnelle : rôle, salaire, formations","Découvrez le métier de conseiller en insertion professionnelle : missions, compétences, salaire moyen, formations pour y accéder.",Conseiller en insertion professionnelle : fiche métier,FAQPage,1400,2-3,Lien interne vers la formation CIP Bordeaux.
conseiller en insertion professionnelle salaire,Informationnel,150,18,2.2,/conseiller-insertion-professionnelle-salaire,Cluster,Salaire d'un conseiller en insertion professionnelle en 2025,"Quel est le salaire moyen d’un conseiller en insertion professionnelle ? Évolutions, grilles, astuces pour progresser.",Salaire d'un conseiller en insertion professionnelle,FAQPage,900,2,"Tableau des salaires, renvoie vers page CIP et fiche métier."
formation conseiller en insertion professionnelle,Informationnel,800,20,2.3,/formation-conseiller-insertion-professionnelle,Cluster,Formation Conseiller en insertion professionnelle : parcours & financements,"Découvrez les formations pour devenir conseiller en insertion professionnelle : durée, financement CPF, centres GRETA et Atipik RH.",Formation pour devenir conseiller en insertion professionnelle,FAQPage,1100,2-3,Redirige vers formation CIP Bordeaux si besoin.
conseiller insertion professionnelle,Informationnel,300,18,2.4,/conseiller-insertion-professionnelle-metier,Cluster,"Conseiller insertion professionnelle : missions, compétences, formations","Missions, compétences et formations pour devenir conseiller insertion professionnelle. Guide complet Atipik RH 2025.",Le métier de conseiller insertion professionnelle,FAQPage,1200,2,Alias sans « en ».
offre d'emploi conseiller en insertion professionnelle,Informationnel,120,22,1.8,/offres-emploi-conseiller-insertion-professionnelle,Blog,Offres d'emploi de conseiller en insertion professionnelle – mise à jour 2025,Liste des dernières offres d'emploi pour conseillers en insertion professionnelle en France et conseils pour candidater.,Offres d'emploi Conseiller en insertion professionnelle,FAQPage,900,1-2,"Article blog opportunité, non prioritaire."
formation conseiller en insertion professionnelle greta,Informationnel,90,17,2.1,/formation-conseiller-insertion-professionnelle-greta,Cluster,Formation CIP au GRETA : devenir conseiller en insertion pro,"Tout savoir sur la formation conseiller en insertion professionnelle au GRETA : programme, coût, CPF.",Formation conseiller en insertion professionnelle au GRETA,FAQPage,1000,2,Comparatif Atipik vs GRETA.
